country,coverage,year,passengers
NOR,TOTAL,2016,38339513
POL,TOTAL,2016,32341649
PRT,TOTAL,2016,40604376
ROU,TOTAL,2016,15215421
RS,TOTAL,2016,4414863
SWE,TOTAL,2016,36076810
SVN,TOTAL,2016,1405510
SVK,TOTAL,2016,2201980
TUR,TOTAL,2016,123037102
GBR,TOTAL,2016,249076212
AUT,INTL,2015,26416153
BEL,INTL,2015,31325457
BGR,INTL,2015,7517041
CHE,INTL,2015,47426275
CYP,INTL,2015,7753676
CZE,INTL,2015,12806901
DEU,INTL,2015,171397627
DNK,INTL,2015,28380422
EST,INTL,2015,2142419
GRC,INTL,2015,34614396
ESP,INTL,2015,144150799
FIN,INTL,2015,14872741
FRA,INTL,2015,113014396
HRV,INTL,2015,6090953
HUN,INTL,2015,10228352
IRL,INTL,2015,29531542
ISL,INTL,2015,4855832
ITA,INTL,2015,98697826
LTU,INTL,2015,4231607
LUX,INTL,2015,2650790
LVA,INTL,2015,5166220
MNE,INTL,2015,
MKD,INTL,2015,1452373
MLT,INTL,2015,4618642
NLD,INTL,2015,64903756
NOR,INTL,2015,22468312
POL,INTL,2015,27347743
PRT,INTL,2015,32183002
ROU,INTL,2015,12123339
RS,INTL,2015,
SWE,INTL,2015,26639371
SVN,INTL,2015,1440473
SVK,INTL,2015,1946947
TUR,INTL,2015,84174657
GBR,INTL,2015,209609283
AUT,"NAT",2015,565809
BEL,"NAT",2015,28493
BGR,"NAT",2015,174233
CHE,"NAT",2015,665894
CYP,"NAT",2015,6434
CZE,"NAT",2015,150395
DEU,"NAT",2015,23343425
DNK,"NAT",2015,1968690
EST,"NAT",2015,19559
GRC,"NAT",2015,7474001
ESP,"NAT",2015,30880817
FIN,"NAT",2015,2602612
FRA,"NAT",2015,28680322
HRV,"NAT",2015,517639
HUN,"NAT",2015,0
IRL,"NAT",2015,79591
ISL,"NAT",2015,0
ITA,"NAT",2015,29755048
LTU,"NAT",2015,885
LUX,"NAT",2015,961
LVA,"NAT",2015,174
MNE,"NAT",2015,
MKD,"NAT",2015,0
MLT,"NAT",2015,259
NLD,"NAT",2015,12391
NOR,"NAT",2015,15637751
POL,"NAT",2015,1626907
PRT,"NAT",2015,3466547
ROU,"NAT",2015,536700
RS,"NAT",2015,
SWE,"NAT",2015,7538173
SVN,"NAT",2015,132
SVK,"NAT",2015,28108
TUR,"NAT",2015,48794653
GBR,"NAT",2015,22914894
AUT,TOTAL,2015,26981962
BEL,TOTAL,2015,31353950
BGR,TOTAL,2015,7691274
CHE,TOTAL,2015,48092169
CYP,TOTAL,2015,7760110
CZE,TOTAL,2015,12957296
DEU,TOTAL,2015,194741052
DNK,TOTAL,2015,30349112
EST,TOTAL,2015,2161978
GRC,TOTAL,2015,42088397
ESP,TOTAL,2015,175031616
FIN,TOTAL,2015,17475353
FRA,TOTAL,2015,141694718
HRV,TOTAL,2015,6608592
HUN,TOTAL,2015,10228352
IRL,TOTAL,2015,29611133
ISL,TOTAL,2015,4855832
ITA,TOTAL,2015,128452874
LTU,TOTAL,2015,4232492
LUX,TOTAL,2015,2651751
LVA,TOTAL,2015,5166394
MNE,TOTAL,2015,
MKD,TOTAL,2015,1452373
MLT,TOTAL,2015,4618901
NLD,TOTAL,2015,64916147
NOR,TOTAL,2015,38106063
POL,TOTAL,2015,28974650
PRT,TOTAL,2015,35649549
ROU,TOTAL,2015,12660039
RS,TOTAL,2015,
SWE,TOTAL,2015,34177544
SVN,TOTAL,2015,1440605
SVK,TOTAL,2015,1975055
TUR,TOTAL,2015,132969310
GBR,TOTAL,2015,232524177
AUT,INTL,2014,25949658
BEL,INTL,2014,29055503
BGR,INTL,2014,7370612
CHE,INTL,2014,45600014
CYP,INTL,2014,7428444
CZE,INTL,2014,12082755
DEU,INTL,2014,164281885
DNK,INTL,2014,27274611
EST,INTL,2014,2003176
GRC,INTL,2014,32850677
ESP,INTL,2014,136518108
FIN,INTL,2014,14652958
FRA,INTL,2014,108764391
HRV,INTL,2014,5637259
HUN,INTL,2014,9054689
IRL,INTL,2014,26278895
ISL,INTL,2014,3867735
ITA,INTL,2014,92047013
LTU,INTL,2014,3823833
LUX,INTL,2014,2433356
LVA,INTL,2014,4822683
MNE,INTL,2014,
MKD,INTL,2014,
MLT,INTL,2014,4286622
NLD,INTL,2014,61157323
NOR,INTL,2014,22430904
POL,INTL,2014,24219011
PRT,INTL,2014,29465810
ROU,INTL,2014,10485865
RS,INTL,2014,
SWE,INTL,2014,25475193
SVN,INTL,2014,1307550
SVK,INTL,2014,1661004
TUR,INTL,2014,80665914
GBR,INTL,2014,198331444
AUT,"NAT",2014,616394
BEL,"NAT",2014,46558
BGR,"NAT",2014,177997
