country,coverage,year,quarter,passengers
NOR,TOTAL,2020,Q4,2123967
POL,TOTAL,2020,Q4,1680445
PRT,TOTAL,2020,Q4,2717858
ROU,TOTAL,2020,Q4,970553
RS,TOTAL,2020,Q4,316044
SWE,TOTAL,2020,Q4,1380993
SVN,TOTAL,2020,Q4,20451
SVK,TOTAL,2020,Q4,35124
TUR,TOTAL,2020,Q4,13781020
GBR,TOTAL,2020,Q4,
AUT,INTL,2020,Q3,2045345
BEL,INTL,2020,Q3,2314479
BGR,INTL,2020,Q3,1337820
CHE,INTL,2020,Q3,3916877
CYP,INTL,2020,Q3,737729
CZE,INTL,2020,Q3,915204
DEU,INTL,2020,Q3,13242552
DNK,INTL,2020,Q3,1678162
EST,INTL,2020,Q3,193127
GRC,INTL,2020,Q3,7952993
ESP,INTL,2020,Q3,9643896
FIN,INTL,2020,Q3,542577
FRA,INTL,2020,Q3,8576377
HRV,INTL,2020,Q3,1033030
HUN,INTL,2020,Q3,806471
IRL,INTL,2020,Q3,1440104
ISL,INTL,2020,Q3,294668
ITA,INTL,2020,Q3,8174848
LTU,INTL,2020,Q3,480656
LUX,INTL,2020,Q3,440688
LVA,INTL,2020,Q3,483696
MNE,INTL,2020,Q3,203968
MKD,INTL,2020,Q3,178972
MLT,INTL,2020,Q3,535286
NLD,INTL,2020,Q3,5485907
NOR,INTL,2020,Q3,999812
POL,INTL,2020,Q3,4297417
PRT,INTL,2020,Q3,4138245
ROU,INTL,2020,Q3,1804722
RS,INTL,2020,Q3,509483
SWE,INTL,2020,Q3,1222801
SVN,INTL,2020,Q3,70702
SVK,INTL,2020,Q3,123042
TUR,INTL,2020,Q3,9676888
GBR,INTL,2020,Q3,13529905
AUT,"NAT",2020,Q3,34297
BEL,"NAT",2020,Q3,2182
BGR,"NAT",2020,Q3,56585
CHE,"NAT",2020,Q3,30068
CYP,"NAT",2020,Q3,0
CZE,"NAT",2020,Q3,3431
DEU,"NAT",2020,Q3,1294377
DNK,"NAT",2020,Q3,271451
EST,"NAT",2020,Q3,8932
GRC,"NAT",2020,Q3,1590360
ESP,"NAT",2020,Q3,5772742
FIN,"NAT",2020,Q3,145005
FRA,"NAT",2020,Q3,5076405
HRV,"NAT",2020,Q3,65936
HUN,"NAT",2020,Q3,52
IRL,"NAT",2020,Q3,9312
ISL,"NAT",2020,Q3,51568
ITA,"NAT",2020,Q3,5205128
LTU,"NAT",2020,Q3,488
LUX,"NAT",2020,Q3,22
LVA,"NAT",2020,Q3,1505
MNE,"NAT",2020,Q3,0
MKD,"NAT",2020,Q3,0
MLT,"NAT",2020,Q3,0
NLD,"NAT",2020,Q3,4093
NOR,"NAT",2020,Q3,2238144
POL,"NAT",2020,Q3,195780
PRT,"NAT",2020,Q3,575722
ROU,"NAT",2020,Q3,92329
RS,"NAT",2020,Q3,9
SWE,"NAT",2020,Q3,374614
SVN,"NAT",2020,Q3,0
SVK,"NAT",2020,Q3,121
TUR,"NAT",2020,Q3,7802932
GBR,"NAT",2020,Q3,1351721
AUT,TOTAL,2020,Q3,2079642
BEL,TOTAL,2020,Q3,2316661
BGR,TOTAL,2020,Q3,1394405
CHE,TOTAL,2020,Q3,3946945
CYP,TOTAL,2020,Q3,737729
CZE,TOTAL,2020,Q3,918635
DEU,TOTAL,2020,Q3,14536929
DNK,TOTAL,2020,Q3,1949613
EST,TOTAL,2020,Q3,202059
GRC,TOTAL,2020,Q3,9543353
ESP,TOTAL,2020,Q3,15416638
FIN,TOTAL,2020,Q3,687582
FRA,TOTAL,2020,Q3,13652782
HRV,TOTAL,2020,Q3,1098966
HUN,TOTAL,2020,Q3,806523
IRL,TOTAL,2020,Q3,1449416
ISL,TOTAL,2020,Q3,346236
ITA,TOTAL,2020,Q3,13379976
LTU,TOTAL,2020,Q3,481144
LUX,TOTAL,2020,Q3,440710
LVA,TOTAL,2020,Q3,485201
MNE,TOTAL,2020,Q3,203968
MKD,TOTAL,2020,Q3,178972
MLT,TOTAL,2020,Q3,535286
NLD,TOTAL,2020,Q3,5490000
NOR,TOTAL,2020,Q3,3237956
POL,TOTAL,2020,Q3,4493197
PRT,TOTAL,2020,Q3,4713967
ROU,TOTAL,2020,Q3,1897051
