country,measure,year,flights
FRA,CAF_PAS,2015,1194974
HRV,CAF_PAS,2015,65907
HUN,CAF_PAS,2015,80184
IRL,CAF_PAS,2015,221013
ISL,CAF_PAS,2015,32168
ITA,CAF_PAS,2015,1004384
LTU,CAF_PAS,2015,41766
LUX,CAF_PAS,2015,42584
LVA,CAF_PAS,2015,63028
MNE,CAF_PAS,2015,
MKD,CAF_PAS,2015,12913
MLT,CAF_PAS,2015,34377
NLD,CAF_PAS,2015,493640
NOR,CAF_PAS,2015,442670
POL,CAF_PAS,2015,277547
PRT,CAF_PAS,2015,285102
ROU,CAF_PAS,2015,116988
RS,CAF_PAS,2015,
SWE,CAF_PAS,2015,336967
SVN,CAF_PAS,2015,21455
SVK,CAF_PAS,2015,17663
TUR,CAF_PAS,2015,906226
GBR,CAF_PAS,2015,1789718
AUT,CAF_PAS_ARR,2015,138053
BEL,CAF_PAS_ARR,2015,143605
BGR,CAF_PAS_ARR,2015,31849
CHE,CAF_PAS_ARR,2015,222605
CYP,CAF_PAS_ARR,2015,26875
CZE,CAF_PAS_ARR,2015,63917
DEU,CAF_PAS_ARR,2015,921542
DNK,CAF_PAS_ARR,2015,163000
EST,CAF_PAS_ARR,2015,16011
GRC,CAF_PAS_ARR,2015,212507
ESP,CAF_PAS_ARR,2015,780284
FIN,CAF_PAS_ARR,2015,107623
FRA,CAF_PAS_ARR,2015,732956
HRV,CAF_PAS_ARR,2015,36515
HUN,CAF_PAS_ARR,2015,40085
