country,measure,year,passengers
SVN,PAS_CRD,2013,1265766
SVK,PAS_CRD,2013,1557149
GBR,PAS_CRD,2013,210468980
AUT,PAS_BRD,2012,26082777
BEL,PAS_BRD,2012,26178086
BGR,PAS_BRD,2012,6850926
CHE,PAS_BRD,2012,43361771
CYP,PAS_BRD,2012,7327763
CZE,PAS_BRD,2012,11927281
DEU,PAS_BRD,2012,180255063
DNK,PAS_BRD,2012,26660166
EST,PAS_BRD,2012,2202501
GRC,PAS_BRD,2012,32081670
ESP,PAS_BRD,2012,160385889
FIN,PAS_BRD,2012,16514915
FRA,PAS_BRD,2012,130863065
HRV,PAS_BRD,2012,5464952
HUN,PAS_BRD,2012,8429843
IRL,PAS_BRD,2012,23627684
ISL,PAS_BRD,2012,2758847
ITA,PAS_BRD,2012,117329243
LTU,PAS_BRD,2012,3173779
LUX,PAS_BRD,2012,1893988
LVA,PAS_BRD,2012,4777303
MNE,PAS_BRD,2012,
MKD,PAS_BRD,2012,
MLT,PAS_BRD,2012,3650287
NLD,PAS_BRD,2012,55946383
NOR,PAS_BRD,2012,35197072
POL,PAS_BRD,2012,21871076
PRT,PAS_BRD,2012,27926447
ROU,PAS_BRD,2012,9743244
RS,PAS_BRD,2012,
SWE,PAS_BRD,2012,30556434
SVN,PAS_BRD,2012,1168261
SVK,PAS_BRD,2012,1569261
TUR,PAS_BRD,2012,98837570
GBR,PAS_BRD,2012,203509424
AUT,PAS_CRD,2012,25965977
BEL,PAS_CRD,2012,25919515
BGR,PAS_CRD,2012,6819103
CHE,PAS_CRD,2012,43236086
CYP,PAS_CRD,2012,7328300
CZE,PAS_CRD,2012,11742352
DEU,PAS_CRD,2012,178591103
DNK,PAS_CRD,2012,26532730
EST,PAS_CRD,2012,2202427
GRC,PAS_CRD,2012,32082336
ESP,PAS_CRD,2012,159771261
FIN,PAS_CRD,2012,16458815
FRA,PAS_CRD,2012,129764462
HRV,PAS_CRD,2012,5422632
HUN,PAS_CRD,2012,8429843
IRL,PAS_CRD,2012,23594089
ISL,PAS_CRD,2012,2740691
ITA,PAS_CRD,2012,116029388
LTU,PAS_CRD,2012,3166628
LUX,PAS_CRD,2012,1893991
LVA,PAS_CRD,2012,4754530
MNE,PAS_CRD,2012,
MKD,PAS_CRD,2012,
MLT,PAS_CRD,2012,3650347
NLD,PAS_CRD,2012,55680209
NOR,PAS_CRD,2012,34592225
POL,PAS_CRD,2012,21800765
PRT,PAS_CRD,2012,28186254
ROU,PAS_CRD,2012,9674226
RS,PAS_CRD,2012,
SWE,PAS_CRD,2012,30350849
SVN,PAS_CRD,2012,1167877
SVK,PAS_CRD,2012,1563197
GBR,PAS_CRD,2012,203067015
AUT,PAS_BRD,2011,25284604
BEL,PAS_BRD,2011,25396082
BGR,PAS_BRD,2011,6679222
CHE,PAS_BRD,2011,41555818
CYP,PAS_BRD,2011,7221391
CZE,PAS_BRD,2011,12824895
DEU,PAS_BRD,2011,177123079
DNK,PAS_BRD,2011,25948224
EST,PAS_BRD,2011,1908202
GRC,PAS_BRD,2011,33770461
ESP,PAS_BRD,2011,165667780
FIN,PAS_BRD,2011,16448435
FRA,PAS_BRD,2011,127179388
HRV,PAS_BRD,2011,5047013
HUN,PAS_BRD,2011,8884837
IRL,PAS_BRD,2011,23366097
ISL,PAS_BRD,2011,2476808
ITA,PAS_BRD,2011,117491880
LTU,PAS_BRD,2011,2701210
LUX,PAS_BRD,2011,1836761
LVA,PAS_BRD,2011,5114658
MNE,PAS_BRD,2011,
MKD,PAS_BRD,2011,
MLT,PAS_BRD,2011,3506632
NLD,PAS_BRD,2011,54198877
NOR,PAS_BRD,2011,32959146
POL,PAS_BRD,2011,20676295
PRT,PAS_BRD,2011,27246741
ROU,PAS_BRD,2011,9767804
RS,PAS_BRD,2011,
SWE,PAS_BRD,2011,29949930
SVN,PAS_BRD,2011,1359646
SVK,PAS_BRD,2011,1814155
TUR,PAS_BRD,2011,
GBR,PAS_BRD,2011,201956096
AUT,PAS_CRD,2011,25137612
BEL,PAS_CRD,2011,25102695
BGR,PAS_CRD,2011,6652007
CHE,PAS_CRD,2011,41439848
CYP,PAS_CRD,2011,7190387
CZE,PAS_CRD,2011,12650532
DEU,PAS_CRD,2011,175316076
DNK,PAS_CRD,2011,25808321
EST,PAS_CRD,2011,1907569
GRC,PAS_CRD,2011,33770739
ESP,PAS_CRD,2011,165153230
FIN,PAS_CRD,2011,16374398
FRA,PAS_CRD,2011,126013257
HRV,PAS_CRD,2011,4989236
HUN,PAS_CRD,2011,8884837
IRL,PAS_CRD,2011,23362889
ISL,PAS_CRD,2011,2462894
ITA,PAS_CRD,2011,116226667
